"code","billable","short_desc","long_desc","code_system","version"
"A00",,"Cholera","Cholera","ICD-10-CM","2026-April-1"
"A000",,"Cholera due to Vibrio cholerae 01, biovar cholerae","Cholera due to Vibrio cholerae 01, biovar cholerae","ICD-10-CM","2026-April-1"
"A001",,"Cholera due to Vibrio cholerae 01, biovar eltor","Cholera due to Vibrio cholerae 01, biovar eltor","ICD-10-CM","2026-April-1"
"A009",,"Cholera, unspecified","Cholera, unspecified","ICD-10-CM","2026-April-1"
"A01",,"Typhoid and paratyphoid fevers","Typhoid and paratyphoid fevers","ICD-10-CM","2026-April-1"
"A010",,"Typhoid fever","Typhoid fever","ICD-10-CM","2026-April-1"
"A0100",,"Typhoid fever, unspecified","Typhoid fever, unspecified","ICD-10-CM","2026-April-1"
"A0101",,"Typhoid meningitis","Typhoid meningitis","ICD-10-CM","2026-April-1"
"A0102",,"Typhoid fever with heart involvement","Typhoid fever with heart involvement","ICD-10-CM","2026-April-1"
"A0103",,"Typhoid pneumonia","Typhoid pneumonia","ICD-10-CM","2026-April-1"
"A0104",,"Typhoid arthritis","Typhoid arthritis","ICD-10-CM","2026-April-1"
"A0105",,"Typhoid osteomyelitis","Typhoid osteomyelitis","ICD-10-CM","2026-April-1"
"A0109",,"Typhoid fever with other complications","Typhoid fever with other complications","ICD-10-CM","2026-April-1"
"A011",,"Paratyphoid fever A","Paratyphoid fever A","ICD-10-CM","2026-April-1"
"A012",,"Paratyphoid fever B","Paratyphoid fever B","ICD-10-CM","2026-April-1"
"A013",,"Paratyphoid fever C","Paratyphoid fever C","ICD-10-CM","2026-April-1"
"A014",,"Paratyphoid fever, unspecified","Paratyphoid fever, unspecified","ICD-10-CM","2026-April-1"
"A02",,"Other salmonella infections","Other salmonella infections","ICD-10-CM","2026-April-1"
"A020",,"Salmonella enteritis","Salmonella enteritis","ICD-10-CM","2026-April-1"
"A021",,"Salmonella sepsis","Salmonella sepsis","ICD-10-CM","2026-April-1"
"A022",,"Localized salmonella infections","Localized salmonella infections","ICD-10-CM","2026-April-1"
"A0220",,"Localized salmonella infection, unspecified","Localized salmonella infection, unspecified","ICD-10-CM","2026-April-1"
"A0221",,"Salmonella meningitis","Salmonella meningitis","ICD-10-CM","2026-April-1"
"A0222",,"Salmonella pneumonia","Salmonella pneumonia","ICD-10-CM","2026-April-1"
"A0223",,"Salmonella arthritis","Salmonella arthritis","ICD-10-CM","2026-April-1"
"A0224",,"Salmonella osteomyelitis","Salmonella osteomyelitis","ICD-10-CM","2026-April-1"
"A0225",,"Salmonella pyelonephritis","Salmonella pyelonephritis","ICD-10-CM","2026-April-1"
"A0229",,"Salmonella with other localized infection","Salmonella with other localized infection","ICD-10-CM","2026-April-1"
"A028",,"Other specified salmonella infections","Other specified salmonella infections","ICD-10-CM","2026-April-1"
"A029",,"Salmonella infection, unspecified","Salmonella infection, unspecified","ICD-10-CM","2026-April-1"
"A03",,"Shigellosis","Shigellosis","ICD-10-CM","2026-April-1"
"A030",,"Shigellosis due to Shigella dysenteriae","Shigellosis due to Shigella dysenteriae","ICD-10-CM","2026-April-1"
"A031",,"Shigellosis due to Shigella flexneri","Shigellosis due to Shigella flexneri","ICD-10-CM","2026-April-1"
"A032",,"Shigellosis due to Shigella boydii","Shigellosis due to Shigella boydii","ICD-10-CM","2026-April-1"
"A033",,"Shigellosis due to Shigella sonnei","Shigellosis due to Shigella sonnei","ICD-10-CM","2026-April-1"
"A038",,"Other shigellosis","Other shigellosis","ICD-10-CM","2026-April-1"
"A039",,"Shigellosis, unspecified","Shigellosis, unspecified","ICD-10-CM","2026-April-1"
"A04",,"Other bacterial intestinal infections","Other bacterial intestinal infections","ICD-10-CM","2026-April-1"
"A040",,"Enteropathogenic Escherichia coli infection","Enteropathogenic Escherichia coli infection","ICD-10-CM","2026-April-1"
